sales_game_id,title,platform,genre,publisher,developer,release_year,source
118,Zumba Fitness,Wii,Sports,505 Games,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
119,Gears of War 2,X360,Shooter,Microsoft Game Studios,,2008.0,kaggle:ulrikthygepedersen/video-games-sales
120,Uncharted 2: Among Thieves,PS3,Action,Sony Computer Entertainment,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
121,Call of Duty 4: Modern Warfare,PS3,Shooter,Activision,,2007.0,kaggle:ulrikthygepedersen/video-games-sales
122,FIFA 12,PS3,Sports,Electronic Arts,,2011.0,kaggle:ulrikthygepedersen/video-games-sales
123,Big Brain Academy,DS,Misc,Nintendo,,2005.0,kaggle:ulrikthygepedersen/video-games-sales
124,Red Dead Redemption,PS3,Action,Take-Two Interactive,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
125,FIFA 15,PS4,Sports,Electronic Arts,,2014.0,kaggle:ulrikthygepedersen/video-games-sales
126,Donkey Kong Country Returns,Wii,Platform,Nintendo,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
127,The Elder Scrolls V: Skyrim,PS3,Role-Playing,Bethesda Softworks,,2011.0,kaggle:ulrikthygepedersen/video-games-sales
128,The Legend of Zelda,NES,Action,Nintendo,,1986.0,kaggle:ulrikthygepedersen/video-games-sales
129,Assassin's Creed III,PS3,Action,Ubisoft,,2012.0,kaggle:ulrikthygepedersen/video-games-sales
130,Halo: Combat Evolved,XB,Shooter,Microsoft Game Studios,,2001.0,kaggle:ulrikthygepedersen/video-games-sales
131,Pokémon Emerald Version,GBA,Role-Playing,Nintendo,,2004.0,kaggle:ulrikthygepedersen/video-games-sales
132,Kingdom Hearts,PS2,Role-Playing,Sony Computer Entertainment,,2002.0,kaggle:ulrikthygepedersen/video-games-sales
133,Pokémon Crystal Version,GB,Role-Playing,Nintendo,,2000.0,kaggle:ulrikthygepedersen/video-games-sales
134,Halo 3: ODST,X360,Shooter,Microsoft Game Studios,,2009.0,kaggle:ulrikthygepedersen/video-games-sales
135,Red Dead Redemption,X360,Action,Take-Two Interactive,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
136,Super Mario Sunshine,GC,Platform,Nintendo,,2002.0,kaggle:ulrikthygepedersen/video-games-sales
137,Street Fighter II: The World Warrior,SNES,Fighting,Capcom,,1992.0,kaggle:ulrikthygepedersen/video-games-sales
138,World of Warcraft,PC,Role-Playing,Activision,,2004.0,kaggle:ulrikthygepedersen/video-games-sales
139,Driver,PS,Action,GT Interactive,,1999.0,kaggle:ulrikthygepedersen/video-games-sales
140,Kinect Sports,X360,Sports,Microsoft Game Studios,,2010.0,kaggle:ulrikthygepedersen/video-games-sales
141,Gears of War 3,X360,Shooter,Microsoft Game Studios,,2011.0,kaggle:ulrikthygepedersen/video-games-sales
142,Gears of War,X360,Shooter,Microsoft Game Studios,,2006.0,kaggle:ulrikthygepedersen/video-games-sales
143,Metal Gear Solid 2: Sons of Liberty,PS2,Action,Konami Digital Entertainment,,2001.0,kaggle:ulrikthygepedersen/video-games-sales
144,Sonic the Hedgehog 2,GEN,Platform,Sega,,1992.0,kaggle:ulrikthygepedersen/video-games-sales
145,Metal Gear Solid 4: Guns of the Patriots,PS3,Action,Konami Digital Entertainment,,2008.0,kaggle:ulrikthygepedersen/video-games-sales
146,Metal Gear Solid,PS,Action,Konami Digital Entertainment,,1998.0,kaggle:ulrikthygepedersen/video-games-sales
147,The Last of Us,PS3,Action,Sony Computer Entertainment Europe,,2013.0,kaggle:ulrikthygepedersen/video-games-sales
