meta_game_id,title,platform,meta_score,user_score,release_date,developer,publisher,genre,source
313,,,,,,,,,kaggle:mohamedhanyyy/video-games
314,,,,,,,,,kaggle:mohamedhanyyy/video-games
315,,,,,,,,,kaggle:mohamedhanyyy/video-games
316,,,,,,,,,kaggle:mohamedhanyyy/video-games
317,,,,,,,,,kaggle:mohamedhanyyy/video-games
318,,,,,,,,,kaggle:mohamedhanyyy/video-games
319,,,,,,,,,kaggle:mohamedhanyyy/video-games
320,,,,,,,,,kaggle:mohamedhanyyy/video-games
321,,,,,,,,,kaggle:mohamedhanyyy/video-games
322,,,,,,,,,kaggle:mohamedhanyyy/video-games
323,,,,,,,,,kaggle:mohamedhanyyy/video-games
324,,,,,,,,,kaggle:mohamedhanyyy/video-games
325,,,,,,,,,kaggle:mohamedhanyyy/video-games
326,,,,,,,,,kaggle:mohamedhanyyy/video-games
327,,,,,,,,,kaggle:mohamedhanyyy/video-games
328,,,,,,,,,kaggle:mohamedhanyyy/video-games
329,,,,,,,,,kaggle:mohamedhanyyy/video-games
330,,,,,,,,,kaggle:mohamedhanyyy/video-games
331,,,,,,,,,kaggle:mohamedhanyyy/video-games
332,,,,,,,,,kaggle:mohamedhanyyy/video-games
333,,,,,,,,,kaggle:mohamedhanyyy/video-games
334,,,,,,,,,kaggle:mohamedhanyyy/video-games
335,,,,,,,,,kaggle:mohamedhanyyy/video-games
336,,,,,,,,,kaggle:mohamedhanyyy/video-games
337,,,,,,,,,kaggle:mohamedhanyyy/video-games
338,,,,,,,,,kaggle:mohamedhanyyy/video-games
339,,,,,,,,,kaggle:mohamedhanyyy/video-games
340,,,,,,,,,kaggle:mohamedhanyyy/video-games
341,,,,,,,,,kaggle:mohamedhanyyy/video-games
342,,,,,,,,,kaggle:mohamedhanyyy/video-games
343,,,,,,,,,kaggle:mohamedhanyyy/video-games
344,,,,,,,,,kaggle:mohamedhanyyy/video-games
345,,,,,,,,,kaggle:mohamedhanyyy/video-games
346,,,,,,,,,kaggle:mohamedhanyyy/video-games
347,,,,,,,,,kaggle:mohamedhanyyy/video-games
348,,,,,,,,,kaggle:mohamedhanyyy/video-games
349,,,,,,,,,kaggle:mohamedhanyyy/video-games
350,,,,,,,,,kaggle:mohamedhanyyy/video-games
351,,,,,,,,,kaggle:mohamedhanyyy/video-games
352,,,,,,,,,kaggle:mohamedhanyyy/video-games
353,,,,,,,,,kaggle:mohamedhanyyy/video-games
354,,,,,,,,,kaggle:mohamedhanyyy/video-games
355,,,,,,,,,kaggle:mohamedhanyyy/video-games
356,,,,,,,,,kaggle:mohamedhanyyy/video-games
357,,,,,,,,,kaggle:mohamedhanyyy/video-games
358,,,,,,,,,kaggle:mohamedhanyyy/video-games
359,,,,,,,,,kaggle:mohamedhanyyy/video-games
360,,,,,,,,,kaggle:mohamedhanyyy/video-games
361,,,,,,,,,kaggle:mohamedhanyyy/video-games
362,,,,,,,,,kaggle:mohamedhanyyy/video-games
363,,,,,,,,,kaggle:mohamedhanyyy/video-games
364,,,,,,,,,kaggle:mohamedhanyyy/video-games
365,,,,,,,,,kaggle:mohamedhanyyy/video-games
366,,,,,,,,,kaggle:mohamedhanyyy/video-games
367,,,,,,,,,kaggle:mohamedhanyyy/video-games
368,,,,,,,,,kaggle:mohamedhanyyy/video-games
369,,,,,,,,,kaggle:mohamedhanyyy/video-games
370,,,,,,,,,kaggle:mohamedhanyyy/video-games
371,,,,,,,,,kaggle:mohamedhanyyy/video-games
372,,,,,,,,,kaggle:mohamedhanyyy/video-games
373,,,,,,,,,kaggle:mohamedhanyyy/video-games
374,,,,,,,,,kaggle:mohamedhanyyy/video-games
375,,,,,,,,,kaggle:mohamedhanyyy/video-games
376,,,,,,,,,kaggle:mohamedhanyyy/video-games
377,,,,,,,,,kaggle:mohamedhanyyy/video-games
378,,,,,,,,,kaggle:mohamedhanyyy/video-games
379,,,,,,,,,kaggle:mohamedhanyyy/video-games
380,,,,,,,,,kaggle:mohamedhanyyy/video-games
381,,,,,,,,,kaggle:mohamedhanyyy/video-games
382,,,,,,,,,kaggle:mohamedhanyyy/video-games
383,,,,,,,,,kaggle:mohamedhanyyy/video-games
384,,,,,,,,,kaggle:mohamedhanyyy/video-games
385,,,,,,,,,kaggle:mohamedhanyyy/video-games
386,,,,,,,,,kaggle:mohamedhanyyy/video-games
387,,,,,,,,,kaggle:mohamedhanyyy/video-games
388,,,,,,,,,kaggle:mohamedhanyyy/video-games
389,,,,,,,,,kaggle:mohamedhanyyy/video-games
390,,,,,,,,,kaggle:mohamedhanyyy/video-games
391,,,,,,,,,kaggle:mohamedhanyyy/video-games
392,,,,,,,,,kaggle:mohamedhanyyy/video-games
393,,,,,,,,,kaggle:mohamedhanyyy/video-games
394,,,,,,,,,kaggle:mohamedhanyyy/video-games
395,,,,,,,,,kaggle:mohamedhanyyy/video-games
396,,,,,,,,,kaggle:mohamedhanyyy/video-games
397,,,,,,,,,kaggle:mohamedhanyyy/video-games
398,,,,,,,,,kaggle:mohamedhanyyy/video-games
399,,,,,,,,,kaggle:mohamedhanyyy/video-games
400,,,,,,,,,kaggle:mohamedhanyyy/video-games
401,,,,,,,,,kaggle:mohamedhanyyy/video-games
402,,,,,,,,,kaggle:mohamedhanyyy/video-games
403,,,,,,,,,kaggle:mohamedhanyyy/video-games
404,,,,,,,,,kaggle:mohamedhanyyy/video-games
405,,,,,,,,,kaggle:mohamedhanyyy/video-games
406,,,,,,,,,kaggle:mohamedhanyyy/video-games
407,,,,,,,,,kaggle:mohamedhanyyy/video-games
408,,,,,,,,,kaggle:mohamedhanyyy/video-games
409,,,,,,,,,kaggle:mohamedhanyyy/video-games
410,,,,,,,,,kaggle:mohamedhanyyy/video-games
411,,,,,,,,,kaggle:mohamedhanyyy/video-games
412,,,,,,,,,kaggle:mohamedhanyyy/video-games
413,,,,,,,,,kaggle:mohamedhanyyy/video-games
414,,,,,,,,,kaggle:mohamedhanyyy/video-games
415,,,,,,,,,kaggle:mohamedhanyyy/video-games
416,,,,,,,,,kaggle:mohamedhanyyy/video-games
417,,,,,,,,,kaggle:mohamedhanyyy/video-games
418,,,,,,,,,kaggle:mohamedhanyyy/video-games
419,,,,,,,,,kaggle:mohamedhanyyy/video-games
420,,,,,,,,,kaggle:mohamedhanyyy/video-games
421,,,,,,,,,kaggle:mohamedhanyyy/video-games
422,,,,,,,,,kaggle:mohamedhanyyy/video-games
423,,,,,,,,,kaggle:mohamedhanyyy/video-games
424,,,,,,,,,kaggle:mohamedhanyyy/video-games
425,,,,,,,,,kaggle:mohamedhanyyy/video-games
426,,,,,,,,,kaggle:mohamedhanyyy/video-games
